SUNK_ID,SUNK_MONTH_NAME,SUNK_DAY_OF_MONTH,SUNK_YEAR,SUNK_MONTH_NUMBER,SUNK_MONTH_YEAR,SUNK_DAY_OF_WEEK_NUMBER,SUNK_DATE_OF_WEEK_NAME,SUNK_DATE,SUNK_NAME_OF_VESSEL,SUNK_TYPE_VESSEL,SUNK_STANDARD_TONNAGE,SUNK_LOCATION,AGENT_NATION,AGENT_TYPES,SUNK_TYPE,SUNK_VESSEL_TYPE,AGENT_GENERAL_TYPE,SUNK_LOCATION_LAT,SUNK_LOCATION_LONG,SUNK_DISTANCE_FROM_TOKYO,SUNK_FULL_LAT,SUNK_FULL_LONG,lat_side,long_side
40,November,3,1942,11,1942-11-01,1,Sunday,1942-11-03,TEKKAI MARU,Cargo,"1,925","32-02N, 126-15E",United States,Submarine,Sunk,Maritime,Submarine,32.02,126.15,1313.879966,32-02N,126-15E,1,1
41,November,3,1942,11,1942-11-01,1,Sunday,1942-11-03,SAGAMI MARU,Passenger-Cargo,"7,189","7-02N, 125-33E",United States,Submarine,Sunk,Maritime,Submarine,7.02,125.33,3507.85172,7-02N,125-33E,1,1
42,November,3,1942,11,1942-11-01,1,Sunday,1942-11-03,CHIKUGO MARU,Cargo,"2,461","20-18N, 108-39E",United States,Submarine,Sunk,Maritime,Submarine,20.18,108.39,3502.7171,20-18N,108-39E,1,1
43,May,4,1942,5,1942-05-01,1,Sunday,1942-05-04,KIKUTSUKI,Destroyer,"1,500","9-07S, 160-12E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,-9.07,160.12,5418.472979,9-07S,160-12E,-1,1
44,June,4,1942,6,1942-06-01,1,Sunday,1942-06-04,AKAGI,Aircraft Carrier,"36,000","30-00N, 179-00W",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,30,-179,3881.999263,30-00N,179-00W,1,-1
45,June,4,1942,6,1942-06-01,1,Sunday,1942-06-04,KAGA,Aircraft Carrier,"35,000","30-00N, 179-00W",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,30,-179,3881.999263,30-00N,179-00W,1,-1
46,June,4,1942,6,1942-06-01,1,Sunday,1942-06-04,HIRYU,Light Aircraft Carrier,"17,500","31-15N, 179-05E",United States,Navy Carrier- Based Aircraft,Sank,Naval,Aircraft,31.15,179.05,3663.214617,31-15N,179-05E,1,1
47,June,4,1942,6,1942-06-01,1,Sunday,1942-06-04,SORYU,Light Aircraft Carrier,"17,500","30-13N, 179-17W",United States,Navy Carrier- Based Aircraft Submarine,Sunk,Naval,Combination,30.13,-179.17,3861.629107,30-13N,179-17W,1,-1
48,July,4,1942,7,1942-07-01,1,Sunday,1942-07-04,NENOHI,Destroyer,"1,600","52-15N, 173-51E",United States,Submarine,Sunk,Naval,Submarine,52.15,173.51,3223.709131,52-15N,173-51E,1,1
49,March,4,1942,3,1942-03-01,1,Sunday,1942-03-04,MORIOKA MARU,Cargo,"4,469","32-55N, 129-26E",Japan,Mine*,Sunk,Maritime,Mine,32.55,129.26,1020.979031,32-55N,129-26E,1,1
50,March,4,1942,3,1942-03-01,1,Sunday,1942-03-04,TAKI MARU,Cargo,"1,244","28-37N, 129-10E",United States,Submarine,Sunk,Maritime,Submarine,28.37,129.1,1286.60442,28-37N,129-10E,1,1
51,March,4,1942,3,1942-03-01,1,Sunday,1942-03-04,ERIMO,Tanker,"6,500","4-19S, 108-25E",United States,Submarine,Sunk,Maritime,Submarine,-4.19,108.25,5512.349319,4-19S,108-25E,-1,1
52,March,4,1942,3,1942-03-01,1,Sunday,1942-03-04,UNKNOWN MARU,Cargo,"4,000","32-33N, 133-26E",United States,Submarine,Sunk,Maritime,Submarine,32.33,133.26,700.358071,32-33N,133-26E,1,1
53,May,4,1942,5,1942-05-01,1,Sunday,1942-05-04,KINJOSAN MARU,Cargo,"3,262","8-44N, 150-56E",United States,Submarine,Sunk,Maritime,Submarine,8.44,150.56,3224.877686,8-44N,150-56E,1,1
54,May,4,1942,5,1942-05-01,1,Sunday,1942-05-04,KONGOSAN MARU,Converted Gunboat,"2,119","33-32N, 136-05E",United States,Submarine,Sunk,Maritime,Submarine,33.32,136.05,425.0300757,33-32N,136-05E,1,1
55,June,4,1942,6,1942-06-01,1,Sunday,1942-06-04,TOYOHASHI MARU,Passenger-Cargo,"7,031","7-30N, 93-10E",Great Britain,Submarine,Sunk,Maritime,Submarine,7.3,93.1,5683.794486,7-30N,93-10E,1,1
56,September,4,1942,9,1942-09-01,1,Sunday,1942-09-04,KASHINO,Supply Ship,"4,000","25-43N, 122-38E",United States,Submarine,Sunk,Maritime,Submarine,25.43,122.38,2007.017473,25-43N,122-38E,1,1
57,September,4,1942,9,1942-09-01,1,Sunday,1942-09-04,CHITA MARU,Cargo,"2,276","40-10N, 141-53E",Unites States,Submarine,Sunk,Maritime,Submarine,40.1,141.53,516.229632,40-10N,141-53E,1,1
58,September,4,1942,9,1942-09-01,1,Sunday,1942-09-04,TENYU MARU,Cargo,"3,738","40-14N, 141-51E",United States,Submarine,Sunk,Maritime,Submarine,40.14,141.51,519.9015456,40-14N,141-51E,1,1
59,September,4,1942,9,1942-09-01,1,Sunday,1942-09-04,KAIMEI MARU,Cargo,"5,254","40-14N, 141-51E",United States,Submarine,Sunk,Maritime,Submarine,40.14,141.51,519.9015456,40-14N,141-51E,1,1
60,October,4,1942,10,1942-10-01,1,Sunday,1942-10-04,SETSUYO MARU,Cargo,"4,147","39-48N, 142-08E",United States,Submarine,Sunk,Maritime,Submarine,39.48,142.08,471.0691053,39-48N,142-08E,1,1
61,December,4,1942,12,1942-12-01,1,Sunday,1942-12-04,MANSEI MARU,Passenger-Cargo,"7,770","23-30N, 119-34E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,23.3,119.34,2395.302146,23-30N,119-34E,1,1
62,July,5,1942,7,1942-07-01,1,Sunday,1942-07-05,ARARE,Destroyer,"1,850","52-00N, 177-40E",United States,Submarine,Sunk,Naval,Submarine,52,177.4,3469.97041,52-00N,177-40E,1,1
63,August,5,1942,8,1942-08-01,1,Sunday,1942-08-05,BRASIL MARU,Transport,"12,752","9-50N, 150-38E",United States,Submarine,Sunk,Maritime,Submarine,9.5,150.38,3106.856318,9-50N,150-38E,1,1
64,June,6,1942,6,1942-06-01,1,Sunday,1942-06-06,MIKUMA,Heavy Cruiser,"13,000","30-00N, 173-00E",United States,Navy Carrier- Based Aircraft Marine Land- Based Aircraft,Sunk,Naval,Combination,30,173,3159.699069,30-00N,173-00E,1,1
65,May,6,1942,5,1942-05-01,1,Sunday,1942-05-06,KANAN MARU,Cargo,"2,567","12-05N, 109-35E",United States,Submarine,Sunk,Maritime,Submarine,12.05,109.35,4021.592048,12-05N,109-35E,1,1
66,May,6,1942,5,1942-05-01,1,Sunday,1942-05-06,TAIEI MARU,Cargo,"2,209","28-42N, 123-50E",United States,Submarine,Sunk,Maritime,Submarine,28.42,123.5,1723.452997,28-42N,123-50E,1,1
67,May,6,1942,5,1942-05-01,1,Sunday,1942-05-06,TAIGEN MARU,Passenger-Cargo,"5,660","28-19N, 123-33E",United States,Submarine,Sunk,Maritime,Submarine,28.19,123.33,1751.189467,28-19N,123-33E,1,1
68,August,6,1942,8,1942-08-01,1,Sunday,1942-08-06,OHIO MARU,Passenger-Cargo,"5,872","13-51N, 113-15E",United States,Submarine*,Sunk,Maritime,Submarine,13.51,113.15,3621.020479,13-51N,113-15E,1,1
69,August,6,1942,8,1942-08-01,1,Sunday,1942-08-06,PALAO MARU,Passenger-Cargo,"4,495","9-04N, 150-54E",United States,Submarine,Sunk,Maritime,Submarine,9.04,150.54,3160.935502,9-04N,150-54E,1,1
70,May,7,1942,5,1942-05-01,1,Sunday,1942-05-07,SHOHO,Light Aircraft Carrier,"12,000","10-29S, 152-55E",United States,Navy Carrier- Based Aircraft,Sunk,Naval,Aircraft,-10.29,152.55,5288.019411,10-29S,152-55E,-1,1
71,July,7,1942,7,1942-07-01,1,Sunday,1942-07-07,HARUNA MARU,Passenger-Cargo,"10,420","34-36N, 138-06E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,34.36,138.06,209.5183573,34-36N,138-06E,1,1
72,August,7,1942,8,1942-08-01,1,Sunday,1942-08-07,SHOFUKU MARU,Converted Net Tender,891,"9-22N, 170-12E",United States,Submarine,Sunk,Maritime,Submarine,9.22,170.12,4259.201797,9-22N,170-12E,1,1
73,September,7,1942,9,1942-09-01,1,Sunday,1942-09-07,TAIKA MARU,Cargo,"2,204","25-31N, 121-33E",United States,Submarine,Sunk,Maritime,Submarine,25.31,121.33,2098.151146,25-31N,121-33E,1,1
74,October,7,1942,10,1942-10-01,1,Sunday,1942-10-07,MIDORI MARU,Passenger-Cargo,"5,827","31-00N, 122-30E",Japan,Marine Casualty,Sunk,Maritime,Marine Casualty,31,122.3,1694.661359,31-00N,122-30E,1,1
75,October,7,1942,10,1942-10-01,1,Sunday,1942-10-07,SENKAI MARU,Passenger-Cargo,"2,095","1-55N, 153-42E",United States,Submarine,Sunk,Maritime,Submarine,1.55,153.42,4052.050312,1-55N,153-42E,1,1
76,October,7,1942,10,1942-10-01,1,Sunday,1942-10-07,NAMINOUE MARU,Transport,"4,731","3-51S, 151-21E",United States,Submarine,Sunk,Maritime,Submarine,-3.51,151.21,4520.943868,3-51S,151-21E,-1,1
77,December,7,1942,12,1942-12-01,1,Sunday,1942-12-07,HINO MARU NO 3,Passenger-Cargo,"4,391","23-59N, 138-43E",United States,Submarine,Sunk,Maritime,Submarine,23.59,138.43,1350.916497,23-59N,138-43E,1,1
78,February,8,1942,2,1942-02-01,1,Sunday,1942-02-08,NATSUSHIO,Destroyer,"1,900","5-10S, 119-24E",United States,Submarine,Sunk,Naval,Submarine,-5.1,119.24,5012.600646,5-10S,119-24E,-1,1
79,May,8,1942,5,1942-05-01,1,Sunday,1942-05-08,BUJUN MARU,Cargo,"4,804","12-00N, 111-10E",United States,Submarine,Sunk,Maritime,Submarine,12,111.1,3895.015226,12-00N,111-10E,1,1
80,May,8,1942,5,1942-05-01,1,Sunday,1942-05-08,TAIYO MARU,Transport,"14,457","30-40N, 127-54E",United States,Submarine,Sunk,Maritime,Submarine,30.4,127.54,1274.75989,30-40N,127-54E,1,1
81,July,8,1942,7,1942-07-01,1,Sunday,1942-07-08,TENZAN MARU,Passenger-Cargo,"2,776","4-00S, 151-50E",United States,Submarine,Sunk,Maritime,Submarine,-4,151.5,4581.755196,4-00S,151-50E,-1,1
82,August,8,1942,8,1942-08-01,1,Sunday,1942-08-08,KOTOKU MARU,Transport,"6,701","7-01N, 147-07E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,7.01,147.07,3276.619977,7-01N,147-07E,1,1
83,August,8,1942,8,1942-08-01,1,Sunday,1942-08-08,KANO MARU,Cargo,"8,572","51-58N, 177-33E",United States,Army Aircraft Surface Craft,Sunk,Maritime,Combination,51.58,177.33,3452.315207,51-58N,177-33E,1,1
84,August,8,1942,8,1942-08-01,1,Sunday,1942-08-08,MEIYO MARU,Transport,"5,628","4-52S, 152-43E",United States,Submarine,,Maritime,Submarine,-4.52,152.43,4664.416002,4-52S,152-43E,-1,1
85,August,8,1942,8,1942-08-01,1,Sunday,1942-08-08,NIKKEI MARU,Passenger-Cargo,"5,811","33-33N, 135-23E",United States,Submarine,Sunk,Maritime,Submarine,33.33,135.23,485.5741695,33-33N,135-23E,1,1
86,August,8,1942,8,1942-08-01,1,Sunday,1942-08-08,BIFUKU MARU,Passenger-Cargo,"2,559","41-14N, 141-32E",United States,Submarine,Sunk,Maritime,Submarine,41.14,141.32,622.3934704,41-14N,141-32E,1,1
87,October,8,1942,10,1942-10-01,1,Sunday,1942-10-08,BORNEO MARU,Cargo,"5,863","51-56N, 177-27E",United States,Army Aircraft,Sunk,Maritime,Army Aircraft,51.56,177.27,3447.717366,51-56N,177-27E,1,1
88,October,8,1942,10,1942-10-01,1,Sunday,1942-10-08,HAGUE MARU,Passenger-Cargo,"5,641","34-06N, 136-22E",United States,Submarine,Sunk,Maritime,Submarine,34.06,136.22,364.7289331,34-06N,136-22E,1,1
89,November,8,1942,11,1942-11-01,1,Sunday,1942-11-08,KEIKO MARU,Converted Gunboat,"2,929","6-22N, 126-03E",United States,Submarine,Sunk,Maritime,Submarine,6.22,126.03,3561.512403,6-22N,126-03E,1,1
90,December,8,1942,12,1942-12-01,1,Sunday,1942-12-08,HEINAN MARU,Cargo,661,"00-52N, 118-54E",United States,Submarine,Sunk,Maritime,Submarine,0.52,118.54,4480.45319,00-52N,118-54E,1,1
91,July,9,1942,7,1942-07-01,1,Sunday,1942-07-09,RO 32,Submarine,700,"55-20N, 134-40W",United States Great Britain,Surface Craft Aircraft,Sunk,Naval,Combination,55.2,-134.4,6582.199077,55-20N,134-40W,1,-1
92,February,9,1942,2,1942-02-01,1,Sunday,1942-02-09,KURAMA,Passenger-Cargo,"6,788",East China Sea,Unknown,Unknown,Sunk,Maritime,Unknown,NULL,NULL,NULL,NULL,NULL,1,-1
93,May,9,1942,5,1942-05-01,1,Sunday,1942-05-09,UNKNOWN MARU,Cargo,"4,000","33-48N, 136-08E",United States,Submarine,Probably sunk,Maritime,Submarine,33.48,136.08,411.775966,33-48N,136-08E,1,1
94,July,9,1942,7,1942-07-01,1,Sunday,1942-07-09,SHINSHO MARU,Motor Torpedo Boat Tender,"4,836","8-43N, 167-33E",United States,Submarine,Sunk,Maritime,Submarine,8.43,167.33,4128.833441,8-43N,167-33E,1,1
95,October,9,1942,10,1942-10-01,1,Sunday,1942-10-09,HACHIMANZAN MARU,Cargo,"2,461","33-27N, 136-01E",United States,Submarine,Sunk,Maritime,Submarine,33.27,136.01,431.4342575,33-27N,136-01E,1,1
96,August,10,1942,8,1942-08-01,1,Sunday,1942-08-10,KAKO,Heavy Cruiser,"8,800","2-15S, 152-15E",United States,Submarine,Sunk,Naval,Submarine,-2.15,152.15,4402.339347,2-15S,152-15E,-1,1
97,November,10,1942,11,1942-11-01,1,Sunday,1942-11-10,I 172,Submarine,"1,785","10-13S, 161-09E",United States,Surface Craft,Sunk,Naval,Surface Craft,-10.13,161.09,5568.015339,10-13S,161-09E,-1,1
98,December,10,1942,12,1942-12-01,1,Sunday,1942-12-10,I 3,Submarine,"1,995","9-14S, 159-40E",United States,Surface Craft,Sunk,Naval,Surface Craft,-9.14,159.4,5396.340587,9-14S,159-40E,-1,1
99,February,10,1942,2,1942-02-01,1,Sunday,1942-02-10,CHUWA MARU,Cargo,"2,719","25-30N, 122-38E",United States,Submarine,Sunk,Maritime,Submarine,25.3,122.38,2016.094718,25-30N,122-38E,1,1
100,March,10,1942,3,1942-03-01,1,Sunday,1942-03-10,YOKOHAMA MARU,Cargo,"6,143","7-01S, 147-07E",United States,Army Aircraft Navy Carrier-Based Aircraft,Sunk,Maritime,Combination,-7.01,147.07,4810.424,7-01S,147-07E,-1,1
101,March,10,1942,3,1942-03-01,1,Sunday,1942-03-10,KONGO MARU,Converted Light Cruiser,"8,624","6-49S, 147-02E",United States,Navy Carrier-Based Aircraft,Sunk,Maritime,Aircraft,-6.49,147.02,4752.436857,6-49S,147-02E,-1,1
102,March,10,1942,3,1942-03-01,1,Sunday,1942-03-10,TENYO MARU,Converted Minesweeper,"6,843","6-49S, 147-02E",United States,Navy Carrier-Based Aircraft,Sunk,Maritime,Aircraft,-6.49,147.02,4752.436857,6-49S,147-02E,-1,1
103,March,10,1942,3,1942-03-01,1,Sunday,1942-03-10,KOSEI MARU,Passenger-Cargo,"6,667","16-05N, 120-20E",Japan,Mine,Sunk,Maritime,Mine,16.05,120.2,2915.6091,16-05N,120-20E,1,1
104,April,10,1942,4,1942-04-01,1,Sunday,1942-04-10,SADO MARU,Cargo,"3,039","34-52N, 139-15E",United States,Submarine,Sunk,Maritime,Submarine,34.52,139.15,139.0623257,34-52N,139-15E,1,1
105,May,10,1942,5,1942-05-01,1,Sunday,1942-05-10,ORIDONO MARU,Cargo,"5,278","7-00S, 112-40E",Japan,Mine*,Sunk,Maritime,Mine,-7,112.4,5538.748713,7-00S,112-40E,-1,1
106,October,10,1942,10,1942-10-01,1,Sunday,1942-10-10,SHIGURE MARU,Cargo,"2,445","1-01S, 117-23E",United States,Submarine,Sunk,Maritime,Submarine,-1.01,117.23,4698.361198,1-01S,117-23E,-1,1
107,November,10,1942,11,1942-11-01,1,Sunday,1942-11-10,UNKNOWN MARU,Cargo,"4,000","7-12N, 150-47E",United States,Submarine,Sunk,Maritime,Submarine,7.12,150.47,3361.422895,7-12N,150-47E,1,1
108,December,10,1942,12,1942-12-01,1,Sunday,1942-12-10,KAMOI MARU,Cargo,"5,355","4-56S, 154-58E",United States,Submarine,Sunk,Maritime,Submarine,-4.56,154.58,4737.377204,4-56S,154-58E,-1,1
109,May,11,1942,5,1942-05-01,1,Sunday,1942-05-11,OKINOSHIMA,Minelayer,"4,400","5-06S, 153-48E",United States,Submarine,Sunk,Naval,Submarine,-5.06,153.48,4754.299982,5-06S,153-48E,-1,1
110,September,11,1942,9,1942-09-01,1,Sunday,1942-09-11,YAYOI,Destroyer,"1,500","8-45S, 151-25E",United States Great Britain,Army Aircraft Aircraft,Sunk,Naval,Army Aircraft,-8.45,151.25,5055.478193,8-45S,151-25E,-1,1
111,October,11,1942,10,1942-10-01,1,Sunday,1942-10-11,FURUTAKA,Heavy Cruiser,"8,800","9-00S, 159-50E",United States,Surface Craft,Sunk,Naval,Surface Craft,-9,159.5,5385.884567,9-00S,159-50E,-1,1
112,October,11,1942,10,1942-10-01,1,Sunday,1942-10-11,FUBUKI,Destroyer,"1,950","9-10S, 159-40E",United States,Surface Craft,Sunk,Naval,Surface Craft,-9.1,159.4,5392.20082,9-10S,159-40E,-1,1
113,October,11,1942,10,1942-10-01,1,Sunday,1942-10-11,NATSUGUMO,Destroyer,"1,850","9-10S, 159-40E",United States,Surface Craft,Sunk,Naval,Surface Craft,-9.1,159.4,5392.20082,9-10S,159-40E,-1,1
